Dealer Name,Address,Phone,Fax,City Name,Province Name,Tradein,Charging Station,TOSS
AUTO2000 Basuki Rachmat,"Jl. Basuki Rachmat 115-117, Surabaya, 60271",(031) 5452000 (Hunting),(031) 5342060,Surabaya,JAWA TIMUR,Available,Not Available,Available
AUTO2000 A. Yani,"Jl. Jend. Ahmad Yani No. 210, Surabaya 60235",(031) 8282000 (Hunting),(031) 8287656,Surabaya,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Pecindilan,"Jl. Pecindilan 42, Surabaya 60273",(031) 3762000 (Hunting),(031) 3770136,Surabaya,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Waru (DYNA OUTLET),"Jl. Raya Waru Km. 15, Surabaya 61256",(031) 8532000 (Hunting),(031) 8532575,Surabaya,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Jemur Sari,"Jl. Raya Jemur Sari No. 215, Surabaya 60292",(031) 8492000 (Hunting)/ 8420077,(031) 8420079,Surabaya,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Kertajaya,Jl. Kertajaya Indah Timur No 35 Surabaya 60116,(031) 5952000 (Hunting),(031) 5931881,Surabaya,JAWA TIMUR,Available,Available,Available
AUTO2000 Kenjeran,"Jl. Raya Kenjeran 522 -- 524, Kalijudan, Surabaya",(031) 3822000 (Hunting),(031) 3823737,Surabaya,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Wiyung,"Jl. Lidah Wetan No.27 RT 001/ RW 04, Kelurahan Lidah Wetan. Kecamatan Lakarsantri",(031) 7522000,(031) 51160111,Surabaya,JAWA TIMUR,Available,Not Available,Available
Liek Motor Walikota,"Jl. Walikota Mustajab 2-4 , Surabaya 60272","(031) 5319393, 5325353, 5324444",(031) 5352976,Surabaya,JAWA TIMUR,Available,Not Available,Not Available
Liek Motor Indrapura,"Jl. Indrapura 47 - 49A, Surabaya 60175",(031) 3538999 (Hunting),(031) 3554767,Surabaya,JAWA TIMUR,Available,Available,Not Available
AUTO2000 HR Mohammad,"Jalan HR Mohammad No. 73, Surabaya",031-7312000,031-7314000,Surabaya,JAWA TIMUR,Available,Available,Available
Auto2000 Waru II,,,,Surabaya,JAWA TIMUR,Not Available,Not Available,Available
Asri Motor,"Jl. Jenggolo No. 52, Sidoarjo 61219","(031) 8942000 (Hunting), 8941403",(031) 8921904,Sidoarjo,JAWA TIMUR,Available,Not Available,Available
Asri Motor Taman,"Jl. Raya Taman 147, Sepanjang Taman, Sidoarjo",(031 ) 7872000,(031) 7878888,Sidoarjo,JAWA TIMUR,Available,Not Available,Available
Asri Motor BP,"Jl. Stadion No. 146 - 147 Kemiri, Kab. Sidoarjo",(031) 99715737,,Sidoarjo,JAWA TIMUR,Not Available,Not Available,Available
AUTO2000 Ciledug (BP),"Jl. H. A. Malik Pesanggrahan Deplu Raya,Jakarta 12270","(021) 7352000, 7351376",(021) 7351001,Tangerang,BANTEN,Not Available,Not Available,Available
AUTO2000 Bintaro Jaya,"Jl. M.H. Thamrin Blok B2/2, Sektor VII, Pusat Kawasan Niaga Bintaro Jaya 15224","(021) 7452000 (Hunting), 7454229",(021) 7454240,Tangerang,BANTEN,Available,Available,Available
AUTO2000 Bumi Serpong Damai,"2A Perum, Jl. Komp. Bsd Jl. Pahlawan Seribu No.2, Lengkong Gudang, Kec. Serpong, Kota Tangerang Selatan, Banten 15318",(021) 5382000,"(021) 5379755, 5379759",Tangerang,BANTEN,Available,Not Available,Available
AUTO2000 Pondok Jagung,"Jl. Raya Serpong Km. 7, Pondok Jagung - Tangerang 15310",(021) 5395656,(021) 5395655,Tangerang,BANTEN,Not Available,Not Available,Available
AUTO2000 Alam Sutera,"Jl. Jalur Sutera Kav. 3A Alam Sutera - Serpong, Tangerang",(021) 29662000,(021) 29661414,Tangerang,BANTEN,Available,Available,Available
AUTO2000 Tangerang,"Area Bisnis Park Tangerang City Jl. Jend. Sudirman, Babakan, Tangerang 15118",(021) 55732000,(021) 29239696,Tangerang,BANTEN,Available,Available,Available
Tunas Toyota Tangerang,"Jl. Merdeka No.80, Cimone, Tangerang 15114",(021) 5524986 (Hunting),(021) 5523134,Tangerang,BANTEN,Available,Not Available,Available
Tunas Toyota Ciputat,"Jl. Dewi Sartika 187, Ciputat, Tangerang Selatan 15411",(021) 7490724-26,(021) 7491679,Tangerang,BANTEN,Available,Not Available,Available
Astrido Toyota Tangerang,"Jl. Daan Mogot km 22,5,Tanah Tinggi, Tangerang 15119","(021) 5526690, 5526531",(021) 5530381,Tangerang,BANTEN,Available,Not Available,Available
Astrido Toyota Karawaci,"Jl. Raya Imam Bonjol No.1 Rt. 002/06, Panunggangan Barat, Karawaci, Tangerang 15115",(021) 5573-3999,(021) 5584001,Tangerang,BANTEN,Available,Available,Available
Astrido Toyota Pondok Cabe,"Jl. Pondok Cabe Raya Blok CA No. 1 Pisangan Ciputat, Tangerang",(021) 7410888,(021) 7445654,Tangerang,BANTEN,Available,Not Available,Available
Plaza Toyota Serpong,"Jl. Raya Boulevard M5/11, Gading Serpong, Kelapa Dua,Tangerang",(021) 29001090,(021) 29001091,Tangerang,BANTEN,Available,Available,Not Available
AUTO2000 BSD City,"Jl. Kavling Commercial Park Barat Lot I. 11, Kav. E, BSD, Tangerang Selatan, Tangerang, Banten",(021) 30062000,(021) 30062001,Tangerang,BANTEN,Available,Available,Available
AUTO2000 Pasar Kemis,"Jl. Raya Pasar Kemis Km. 5,8 No. 1, Kp. Cilongok, Kel. Sukamantri, Kec. Pasar Kemis, Kab. Tangerang",(021) 22292000,(021) 22359930,Tangerang,BANTEN,Available,Not Available,Available
Tunas Toyota Cipondoh,"Jl. KH. Hasyim Ashari No. 11 RT. 02/01, Kel. Neroktok, Kec. Pinang, Kota Tangerang",(021) 55711992,(021) 55712976,Tangerang,BANTEN,Available,Not Available,Available
Tunas Toyota Balaraja,"Jl. Raya Serang Km. 24, Kel. Balaraja, Kec. Balaraja, Kab. Tangerang",(021) 59574999,(021) 59574240,Tangerang,BANTEN,Available,Not Available,Available
Astrido Toyota Bitung,"Jl. Raya Serang No. 88, KM 11,5 Kp. Kadu, Kelurahan Bunder, Kecamatan Cikupa, Kab. Tangerang, Banten","(021) 22200111, 22200080",(021) 22921103,Tangerang,BANTEN,Available,Not Available,Available
Setiajaya Pamulang,Jl. Siliwangi Rata No 2. Pondok Benda Pamulang 15416,,,Tangerang,BANTEN,Not Available,Available,Not Available
Sutan Indo Aneka Mobil,"Jl. Medan Km. 2,8 Pematang Siantar",(0622) 432000 (Hunting),"(0622) 435101, 24267",Pematang Siantar,SUMATERA UTARA,Available,Not Available,Not Available
AUTO2000 Serang,"Jl. Raya Pandeglang Km 6,5 (Palempat) Kampung Kramat RT 5 RW 2 Desa Sukajaya, Kec. Curug, Kotamadya Serang",(0254) 8242000,(0254) 8487007,Serang,BANTEN,Available,Not Available,Available
Tunas Toyota Serang,Jl. Jend. Sudirman No. 1A Serang - Banten 42118,"(0254) 217010, 223712",(0254) 215191,Serang,BANTEN,Available,Not Available,Available
AUTO2000 Cikarang,"Jl. M.H Thamrin Kav. 168, Lippo Cikarang 17550",(021) 89902000 (Hunting) 89900542,(021) 89903757,Bekasi,JAWA BARAT,Available,Not Available,Available
AUTO2000 Bekasi Timur,"Jl. Diponegoro 38, Bekasi Timur 17510",(021) 8802000 (Hunting),(021) 88349065,Bekasi,JAWA BARAT,Available,Available,Available
AUTO2000 Bekasi Barat,"Jl. Siliwangi RT 003/009, Sepanjang Jaya, Rawa Lumbu, Bekasi Barat 17510",(021) 82422000,(021) 8206404,Bekasi,JAWA BARAT,Available,Not Available,Available
Astrido Toyota Bekasi,"Jl. Jend. Sudirman No 10, Bekasi  17143",(021) 8893760,(021) 8854004,Bekasi,JAWA BARAT,Available,Available,Available
Astrido Toyota Pondok Gede,"Jl. Inkopau I,  Pondok Gede, Bekasi, 17414",(021) 8480536,"(021) 8480541, 84994669",Bekasi,JAWA BARAT,Available,Not Available,Available
Tunas Toyota Jatiwaringin,"Jl. Raya Jatiwaringin No 366 - Kel.Jaticempaka - Kec. PD. Gede, Bekasi",(021) 84972000,(021) 84973058,Bekasi,JAWA BARAT,Available,Not Available,Available
Anzon Toyota Tambun,"Jl. Sultan Hasanudin KM.42, No.1 Tambun, Bekasi",(021) 88392000,(021) 88394789,Bekasi,JAWA BARAT,Available,Not Available,Not Available
AUTO2000 Cikarang Utara,"Jl. RE Martadinata RT.001/ RW.007, Desa Cikarang Kota, Kec. Cikarang Utara, Kab. Bekasi",(021) 89072000,(021) 89072080,Bekasi,JAWA BARAT,Available,Not Available,Available
AUTO2000 Jatiasih,"Jl. Raya Jatimekar RT.002 RW.011 Kel. Jatimekar, Kec. Jatiasih, Kota Bekasi 17422",(021) 84982000,(021) 85508889,Bekasi,JAWA BARAT,Available,Not Available,Available
Tunas Toyota Bekasi,"Jl. Perjuangan No. 34 Kel. Marga Mulya, Kec. Bekasi Utara",(021) 89453000,(021) 89457775,Bekasi,JAWA BARAT,Available,Not Available,Available
JD Toyota Jababeka Cikarang,"Jl. Dr. Cipto Mangunkusumo Kav C-2, Jababeka, Cikarang, Kab. Bekasi",(021) 89326000,(021) 89326888,Bekasi,JAWA BARAT,Available,Available,Not Available
Daya Toyota Bekasi,"Jl. H. Noer Ali No. 88, Kel. Jatimulya, Kec. Tambun Selatan, Kab. Bekasi",(021) 80611300,(021) 50820043,Bekasi,JAWA BARAT,Available,Available,Available
Auto2000 Cibitung,,,,Bekasi,JAWA BARAT,Not Available,Not Available,Available
Auto2000 Jatiwarna,,,,Bekasi,JAWA BARAT,Not Available,Not Available,Available
AUTO2000 Tuban,"Jl. Dr. Wahidin Sudiro Husodo, No.16",(0356) 412000,(0356) 333477,Tuban,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Karawang,"Jl. Surokunto No.36, Karawang 41313",(0267) 412000 (Hunting),(0267) 402570,Karawang,JAWA BARAT,Available,Not Available,Available
Astrido Toyota Karawang Barat,"Jl. Interchange Karawang Barat RT. 06 RW. 03. No. 1, Karawang",(0267) 8604000,(0267) 78604330,Karawang,JAWA BARAT,Available,Not Available,Available
AUTO2000 Cikampek,"Jl. Jend. Sudirman, Desa Sarimulya, Kec. Kotabaru, Kab. Karawang",(0267) 8332000,(0267) 8331001,Karawang,JAWA BARAT,Available,Not Available,Available
Dunia Barusa Lhokseumawe,"Jl. Merdeka 76, Lhokseumawe 24319",(0645) 45000 (Hunting),(0645) 43317,Lhokseumawe,ACEH,Available,Not Available,Not Available
Istana Agung,"Jl. Mayor Syafri Rachman No. 86, Bangka",(0717) 437688 (Hunting),(0717) 437687,Pangkal Pinang,KEPULAUAN BANGKA BELITUNG,Available,Not Available,Not Available
AUTO2000 Sisingamangaraja,"Jl. Sisingamangaraja 8, Medan 20217",(061) 7362000 (Hunting),(061) 7362300,Medan,SUMATERA UTARA,Available,Available,Available
AUTO2000 Gatot Subroto,"Jl. Gatot Subroto No. 220, Medan 20217",(061) 8452000 (Hunting),(061) 8461719,Medan,SUMATERA UTARA,Available,Available,Available
AUTO2000 Amplas,"Jl. Sisingamangaraja Km. 9,8 Amplas - Medan 20148",(061) 7852000 (Hunting),(061)7851317,Medan,SUMATERA UTARA,Available,Not Available,Available
AUTO2000 Krakatau,"Jl. Gunung Krakatau No. 22A, Krakatau, Medan",(061) 663-6999,(061) 663-8128,Medan,SUMATERA UTARA,Available,Not Available,Available
AUTO2000 Pancing,Jl. Pancing No. 10 - Medan 20221,(061) 6622000,(061) 6631946,Medan,SUMATERA UTARA,Available,Not Available,Available
Perintis Perkasa,Jl. Jen. Gatot Subroto 130 A-E,"(061) 4553888, 4156556 (Hunting)",(061) 4156556,Medan,SUMATERA UTARA,Available,Not Available,Not Available
Perintis Perkasa Gagak Hitam,"Jl. Gagak Hitam No. 88 BCDEF (Ringroad), Kel- Tj. Rejo, Kec. Medan Sunggal, Medan, Sumatra Utara",(061) 8476188,(061) 8476088,Medan,SUMATERA UTARA,Available,Not Available,Not Available
Perintis Perkasa Flamboyan,"Jl. Flamboyan Raya No.66 Medan, Indonesia",(061) 8369888,(061) 8369777,Medan,SUMATERA UTARA,Available,Not Available,Not Available
Deltamas Surya Indah Mulia,"Jl. Balaikota No. 2A , Medan 20111",(061) 4525555 (Hunting),(061) 4520085,Medan,SUMATERA UTARA,Available,Available,Not Available
AUTO2000 MEDAN MARELAN,"Jl. Titi Pahlawan, Desa Labuhan Deli Kecamatan Medan Marelan Medan Sumatera Utara",061-42732000,061-42068919,Medan,SUMATERA UTARA,Available,Not Available,Available
Deltamas SM Raja,"Jl. Sisingamangaraja No. 8-A, Kec. Medan Amplas, Kota Medan",(061) 7866128,(061) 7876726,Medan,SUMATERA UTARA,Not Available,Available,Not Available
Perintis Perkasa,"Jl. H. Adam Malik No. 11, Medan 20114",(061) 4520595 Hunting,(061) 4513041,Medan,SUMATERA UTARA,Available,Available,Not Available
AUTO2000 Padang,"Jl. Khatib Sulaiman, Ulak Karang, Padang 25135",(0751) 7052000 (Hunting),(0751) 7051396,Padang,SUMATERA BARAT,Available,Not Available,Available
AUTO2000 By Pass Padang,"Jl. Raya Bypass km 12 Air Pacah, Padang - Sumbar",(0751) 498800,(0751) 496464,Padang,SUMATERA BARAT,Available,Not Available,Available
Intercom,"Jl. Purus II No. 8, Padang","(0751) 32557, 33527, 25803",,Padang,SUMATERA BARAT,Available,Not Available,Not Available
Intercom BP,"Jl. Veteran Dalam No. 52, Kel. Padang Pasir, Kec. Padang Barat, Padang 25112","(0751) 8952158, 8957703, 8958733",,Padang,SUMATERA BARAT,Not Available,Not Available,Not Available
Agung Toyota Pekanbaru I (Sutomo),"Jl. Dr. Sutomo No. 13, Pekanbaru 28143",(0761) 22252 (Hunting),(0761) 32352,Pekanbaru,RIAU,Available,Not Available,Not Available
Agung Toyota Pekanbaru II (Soekarno Hatta),"Jl. Soekarno Hatta No. 13 , Arengka, Pekanbaru 28292","(0761) 587342, 572100, 571551",(0761) 572125,Pekanbaru,RIAU,Available,Not Available,Not Available
Agung Toyota Pekanbaru III (S.M. Amin),Jl. S.M. Amin No. 13 - Simpang Baru - Kec. Tampan - Pekanbaru 28293,(0761) 565888,(0761) 565999,Pekanbaru,RIAU,Available,Not Available,Not Available
Agung Toyota Pekanbaru IV (Harapan Raya),"Jl. Imam Munandar No.13Pekanbaru, Riau",(0761) 7873555,(0761) 494687,Pekanbaru,RIAU,Available,Available,Not Available
Agung Toyota Jambi,"Jl. Prof. Dr. Sumantri Brojonegoro 135, Jambi 36129",(0741) 64800 (Hunting),(0741) 62823,Jambi,JAMBI,Available,Not Available,Not Available
Agung Toyota Jambi II (Pal-10),"Jl. Marsda Surya RT 20 Kel. Kenali Asam Bawah Kec. Kotabaru, Jambi",(0741) 591 5544,(0741) 591 5545,Jambi,JAMBI,Available,Available,Not Available
Agung Toyota Bengkulu,"Jl. P. Natadirja No. 103, Bengkulu 38225",(0736) 21127 (Hunting),(0736) 21420,Bengkulu,BENGKULU,Available,Available,Not Available
Agung Toyota Bengkulu BP,"Jl. H. Adam MalikKM 8, Gading Cempaka, Kota Bengkulu",(0736) 5516100,(0736) 5516101,Bengkulu,BENGKULU,Not Available,Available,Not Available
Agung Toyota Batam,"Jl. Yos Sudarso, Bengkong Bengkel, Batu Ampar, Batam 29432",(0778) 427585 (Hunting),(0778) 427589,Batam,KEPULAUAN RIAU,Available,Not Available,Not Available
Agung Toyota Sekupang,Jl. RE Martadinata Sekupang â€“ Kota Batam,(0778) 324588,(0778) 326606,Batam,KEPULAUAN RIAU,Available,Not Available,Not Available
Agung Toyota Batam Center,"Jl. Jenderal Sudirman No. 13, Kel. Taman Baloi, Kec. Batam Kota, Kepulauan Riau",(0778) 4088000,(0788) 4089585,Batam,KEPULAUAN RIAU,Available,Available,Not Available
AUTO2000 Veteran,"Jl. Veteran6857, Palembang 30126",(0711) 352000 (Hunting),(0711) 312000,Palembang,SUMATERA SELATAN,Available,Not Available,Available
AUTO2000 Plaju,"Jl. Jend. A. Yani No.5502, Palembang",(0711) 512000 (Hunting),(0711) 512943,Palembang,SUMATERA SELATAN,Available,Not Available,Available
AUTO2000 Tanjung Api-Api,"Jl. Letjend Harun Soharno No. 168, Tanjung Api-Api Palembang",(0711) 5612000,(0711) 421998,Palembang,SUMATERA SELATAN,Available,Available,Available
Tunas Auto Graha Palembang,Jl. Perintis kemerdekaan No. 8 (depan gudang dolog),"(0711) 718708, 717979 (Hunting)",(0711) 711819,Palembang,SUMATERA SELATAN,Available,Not Available,Not Available
AUTO2000 Supadio Pontianak,"Jl. Arteri Supadio (A. Yani II) Kec. Sungai Raya, Kab. Kubu Raya, Kalimantan Barat",(0561) 732000,(0561) 8123043,Pontianak,KALIMANTAN BARAT,Available,Not Available,Available
Anzon Toyota Pontianak,"Jl. Jend. Achmad Yani No.89 - Pontianak, 78123",(0561) 734280 (Hunting),(0561) 735836,Pontianak,KALIMANTAN BARAT,Available,Not Available,Not Available
Sumber Harapan Tarakan,"Jl. Sudirman No. 102, Tarakan","(0551) 21567, 21678 (Hunting)",(0551) 51489,Tarakan,KALIMANTAN UTARA,Available,Not Available,Not Available
Sumber Harapan Tarakan,"Jl. Mulawarman No.1, Tarakan",(0551) 36678,(0551) 51489,Tarakan,KALIMANTAN UTARA,Available,Not Available,Not Available
AUTO2000 Samarinda,"Jl. Wahid Hasyim, No. 99, Sempaja",(0541) 742000 (Hunting),(0541) 7770968,Samarinda,KALIMANTAN TIMUR,Available,Not Available,Available
Graha Toyota Samarinda,"Jl. P. Antasari No. 22, Samarinda 75124","(0541) 735155, 732184",(0541) 743021,Samarinda,KALIMANTAN TIMUR,Available,Not Available,Available
AUTO2000 Balikpapan Sudirman,"Jl. Jend Sudirman No. 29, Balikpapan 76113",(0542) 732000 (Hunting),(0542) 734011,Balikpapan,KALIMANTAN TIMUR,Available,Available,Available
AUTO2000 Balikpapan BP,Jl. Jend. MT.Haryono Rt.31 No.67 Balikpapan Selatan,(0542) 737200 (Hunting),(0542) 737300,Balikpapan,KALIMANTAN TIMUR,Not Available,Not Available,Available
AUTO2000 Balikpapan MT Haryono,Jl. MT. Haryono No. 188 Balikpapan 76114,(0542) 876800 (Hunting),(0542) 876810,Balikpapan,KALIMANTAN TIMUR,Available,Not Available,Available
Wira Megah Banjarmasin,"Jl. Jen. A. Yani  KM 10 No.10 Rt.2, Kertak Hanyar, Banjar 70233",(0511) 4312000,(0511) 4225000,Banjarmasin,KALIMANTAN SELATAN,Available,Not Available,Not Available
Hasjrat Toyota Palu Durian,"Jl. Durian, Kelurahan Baru, Kecamatan Palu Barat, Kota Palu","(0451) 461900, 460300",(0451) 461789,Palu,SULAWESI TENGAH,Not Available,Not Available,Not Available
Hasjrat Toyota Palu Diponegoro,"Jl. Diponegoro 158, Palu 94221","(0451) 421352, 421823",(0451) 422226,Palu,SULAWESI TENGAH,Available,Not Available,Not Available
Hasjrat Toyota Palu Mutiara,"Jl. Abdul rahman saleh No. 28, Kel. Birobuli utara kec. Palu Selatan 94121 Sulawesi Tengah",(0451) 487600,,Palu,SULAWESI TENGAH,Available,Not Available,Not Available
Kalla Toyota Juanda,"Jl. Ir. H. Juanda 45 , Palu 94112","(0451) 421552, 422072","(0451) 456055, 451717, 423791",Palu,SULAWESI TENGAH,Available,Not Available,Available
Kalla Toyota Martadinata,"Jl. R.E Martadinata 45, Palu , Central Sulawesi",(0451) 4131431,(0451) 4131341,Palu,SULAWESI TENGAH,Available,Not Available,Available
Kalla Toyota Palopo,Jl. Andi Jemma No. 136,(0471) 23816,"(0471) 21484, 22232",Palopo,SULAWESI SELATAN,Available,Not Available,Available
Kalla Toyota Bone,"Jl. Sukawati No.36, Watampone 92732","(0481) 21950, 2000200",(0481) 22311,Bone,SULAWESI SELATAN,Available,Not Available,Available
Hasjrat Toyota Gorontalo Kasuari,"Jl. Cut Nyak Dien, Kel. Haledulaa Utara, Kec. Kota Timur",(0435) 829430,(0435) 826870,Gorontalo,GORONTALO,Not Available,Not Available,Not Available
Hasjrat Toyota Gorontalo,Jl. Nani Wartabone No. 9A,"(0435) 821551, 824126",(0435) 824429,Gorontalo,GORONTALO,Available,Not Available,Not Available
Hasjrat Toyota Limboto,Jl. Raya Limboto Dusun 3 Pentadio Barat,(0435) 881234,(0435) 880155,Gorontalo,GORONTALO,Available,Not Available,Not Available
Hasjrat Toyota Kotamobagu,Jl. Datoe Binangkang No. 17,"(0434) 21966, 21666",(0434) 21590,Kotamobagu,SULAWESI UTARA,Available,Not Available,Not Available
Hasjrat Toyota Luwuk,"Jl. Dr. Moh. Hatta No.72, Maahas, Luwuk Selatan Kabupaten Banggai, Sulawesi Tengah 94713","(0461) 21900, 23015",(0461) 22595,Luwuk,SULAWESI TENGAH,Available,Not Available,Not Available
Kalla Toyota Kendari,"Jl. Ahmad Yani No 4 Kendari, Sul-Teng","(0401) 3196333, 3194789, 3005134",(0401) 3196555,Kendari,SULAWESI TENGGARA,Available,Not Available,Available
Kalla Toyota Pinrang,Jl. Jend. Sudirman 10A,(0421) 921074,(0421) 3910555,Pinrang,SULAWESI SELATAN,Available,Not Available,Available
Kalla Toyota Tanatoraja,Jl. Pongtiku No. 27 - Rantepao,(0423) 21555,"(0423) 25077, 24077",Tana Toraja,SULAWESI SELATAN,Available,Not Available,Available
Kalla Toyota Sengkang,"Jl. Andi  Ma'ga Amrullah  No.1, Sengkang 90911",(0485) 21324,(0485) 323611,Sengkang,SULAWESI SELATAN,Available,Not Available,Available
Kalla Toyota Bulukumba,Jl. Lanto Dg. Pasewang No.15,"(0413) 82477, 83477",(0413)  82577,Bulukumba,SULAWESI SELATAN,Available,Not Available,Available
Kalla Toyota (I) Urip Sumoharjo,"Jl. Urip Sumoharjo No.227, Makasar 90232",(0411) 448044,(0411) 452000,Makassar,SULAWESI SELATAN,Available,Not Available,Not Available
Kalla Toyota (II) Urip Sumoharjo,"Jl. Urip Sumoharjo No.110, Makasar 90232",(0411) 448844,(0411) 449303,Makassar,SULAWESI SELATAN,Not Available,Not Available,Not Available
Kalla Toyota Alauddin,Jl. Sultan Alauddin No 76,"(0411) 840555, 881275","(0411) 840444, 449303",Makassar,SULAWESI SELATAN,Available,Not Available,Available
